Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
MNQH26	Short	2026-02-24  10:02:20.379	2026-02-24  10:02:47.440 EP	24837.25	24856.75	1	2	2	-39.00	-180.50	-78.00 F	10.00	-78.00	5.00	-39.00	100.0%	44.3%	-44.3%	0.00	24856.75	24834.75	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:00:27	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Short	2026-02-24  10:03:17.411 BP	2026-02-24  10:05:05.730	24854.75	24847.50	1	2	1	14.50	-166.00	14.50	37.00	-19.00	37.00	-19.00	100.0%	59.8%	25.9%	0.00	24864.25	24836.25	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:48	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Short	2026-02-24  10:03:17.411	2026-02-24  10:05:05.730 EP	24854.75	24847.50	1	2	2	14.50	-151.50	29.00 F	74.00	-38.00	37.00	-19.00	100.0%	46.9%	12.9%	0.00	24864.25	24836.25	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:01:48	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Short	2026-02-24  10:07:03.119 BP	2026-02-24  10:09:34.837	24868.50	24888.50	1	2	1	-40.00	-191.50	-40.00	60.50	-40.00	60.50	-40.00	100.0%	0.0%	-39.8%	0.00	24888.50	24838.25	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:02:31	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Short	2026-02-24  10:07:03.119	2026-02-24  10:09:34.837 EP	24868.50	24888.50	1	2	2	-40.00	-231.50	-80.00 F	121.00	-80.00	60.50	-40.00	100.0%	19.9%	-19.9%	0.00	24888.50	24838.25	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:02:31	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Long	2026-02-24  10:11:04.993 BP	2026-02-24  10:13:24.338	24908.50	24889.50	1	2	1	-38.00	-269.50	-38.00	28.50	-38.00	28.50	-38.00	100.0%	0.0%	-57.1%	0.00	24922.75	24889.50	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:02:19	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Long	2026-02-24  10:11:04.993	2026-02-24  10:13:24.338 EP	24908.50	24889.50	1	2	2	-38.00	-307.50	-76.00 F	57.00	-76.00	28.50	-38.00	100.0%	28.6%	-28.6%	0.00	24922.75	24889.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:02:19	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Short	2026-02-26  09:32:25.594 BP	2026-02-26  09:34:17.274	25304.00	25260.00	1	2	1	88.00	-219.50	88.00	88.00	-14.50	88.00	-14.50	100.0%	100.0%	85.9%	0.00	25311.25	25260.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:51	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Short	2026-02-26  09:32:25.594	2026-02-26  09:36:45.770 EP	25304.00	25232.50	1	2	2	143.00	-76.50	231.00 F	231.00	-29.00	143.00	-14.50	100.0%	66.2%	55.0%	0.00	25311.25	25232.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:04:20	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Short	2026-02-26  09:47:08.783 BP	2026-02-26  09:47:31.610	25235.50	25256.00	1	2	1	-41.00	-117.50	-41.00	3.50	-41.00	3.50	-41.00	100.0%	0.0%	-92.1%	0.00	25256.00	25233.75	CleanOrder.twconfig	1	1	00:00:22	19850621	0.00	-350.50	349.00	-350.50
MNQH26	Short	2026-02-26  09:47:10.949	2026-02-26  10:01:41.806 EP	25238.50	25143.50	1	2	2	190.00	72.50	149.00 F	193.50	-76.00	190.00	-35.00	100.0%	98.7%	70.5%	0.00	25256.00	25143.50	CleanOrder.twconfig	2	0	00:14:30	19850621	72.50	-350.50	423.00	-350.50
MNQH26	Short	2026-02-26  10:05:06.751 BP	2026-02-26  10:06:19.168	25163.75	25173.25	1	2	1	-19.00	53.50	-19.00	22.50	-22.50	22.50	-22.50	100.0%	7.8%	-42.2%	0.00	25175.00	25152.50	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:12	19850621	72.50	-350.50	423.00	-350.50
MNQH26	Short	2026-02-26  10:05:06.751	2026-02-26  10:06:19.168 EP	25163.75	25173.25	1	2	2	-19.00	34.50	-38.00 F	45.00	-45.00	22.50	-22.50	100.0%	28.9%	-21.1%	0.00	25175.00	25152.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:01:12	19850621	72.50	-350.50	423.00	-350.50
MNQH26	Short	2026-02-26  10:06:29.842 BP	2026-02-26  10:12:33.339	25162.25	25100.75	1	2	1	123.00	157.50	123.00	123.00	-29.00	123.00	-29.00	100.0%	100.0%	80.9%	0.00	25176.75	25100.75	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:06:03	19850621	157.50	-350.50	508.00	-350.50
MNQH26	Short	2026-02-26  10:06:29.842	2026-02-26  10:14:13.924 EP	25162.25	25080.25	1	2	2	164.00	321.50	287.00 F	287.00	-58.00	164.00	-29.00	100.0%	64.3%	47.5%	0.00	25176.75	25080.25	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:07:44	19850621	321.50	-350.50	672.00	-350.50
																														
NQH26 (19850621)	Short	2026-02-12  11:02:28.000 BP	2026-02-12  11:03:06.359 EP	24997.00	25017.00	1	1	1	-400.00	-400.00	-400.00 F	85.00	-400.00	85.00	-400.00	100.0%	0.0%	-82.5%	0.00	25017.00	24992.75	CleanOrder.twconfig	1	0	00:00:38	19850621	0.00	-400.00	0.00	-400.00
									Total: -78.50																					
