Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
MNQH26 (19850621)	Long	2026-03-04  09:37:34.132 BP	2026-03-04  09:38:42.938	24906.25	24886.75	1	2	1	-39.00	-39.00	-39.00	25.00	-39.00	25.00	-39.00	100.0%	0.0%	-60.9%	0.00	24918.75	24886.75	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:08	19850621	0.00	-39.00	0.00	-39.00
MNQH26	Long	2026-03-04  09:37:34.132	2026-03-04  09:38:42.938 EP	24906.25	24886.75	1	2	2	-39.00	-78.00	-78.00 F	50.00	-78.00	25.00	-39.00	100.0%	30.5%	-30.5%	0.00	24918.75	24886.75	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:01:08	19850621	0.00	-78.00	0.00	-78.00
MNQH26	Long	2026-03-04  09:39:11.373 BP	2026-03-04  09:40:03.211	24895.50	24875.50	1	2	1	-40.00	-118.00	-40.00	29.00	-40.00	29.00	-40.00	100.0%	0.0%	-58.0%	0.00	24910.00	24875.50	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:00:51	19850621	0.00	-118.00	0.00	-118.00
MNQH26	Long	2026-03-04  09:39:11.373	2026-03-04  09:40:03.211 EP	24895.50	24875.50	1	2	2	-40.00	-158.00	-80.00 F	58.00	-80.00	29.00	-40.00	100.0%	29.0%	-29.0%	0.00	24910.00	24875.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:00:51	19850621	0.00	-158.00	0.00	-158.00
MNQH26	Short	2026-03-04  09:41:42.362 BP	2026-03-04  09:43:36.153	24854.50	24874.00	1	2	1	-39.00	-197.00	-39.00	26.00	-39.00	26.00	-39.00	100.0%	0.0%	-60.0%	0.00	24874.00	24841.50	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:01:53	19850621	0.00	-197.00	0.00	-197.00
MNQH26	Short	2026-03-04  09:41:42.362	2026-03-04  09:43:36.153 EP	24854.50	24874.00	1	2	2	-39.00	-236.00	-78.00 F	52.00	-78.00	26.00	-39.00	100.0%	30.0%	-30.0%	0.00	24874.00	24841.50	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:01:53	19850621	0.00	-236.00	0.00	-236.00
MNQH26	Short	2026-03-04  09:45:10.133 BP	2026-03-04  09:45:30.697	24830.00	24850.00	1	2	1	-40.00	-276.00	-40.00	0.00	-40.00	0.00	-40.00	100.0%	0.0%	-100.0%	0.00	24850.00	24830.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:00:20	19850621	0.00	-276.00	0.00	-276.00
MNQH26	Short	2026-03-04  09:45:10.235	2026-03-04  09:46:03.287	24833.25	24852.50	1	3	2	-38.50	-314.50	-78.50	11.00	-78.50	11.00	-38.50	100.0%	44.7%	-43.0%	0.00	24852.50	24827.75	20_pts_SL_40_60_pts_TP.twconfig	2	2	00:00:53	19850621	0.00	-314.50	0.00	-314.50
MNQH26	Short	2026-03-04  09:45:44.429	2026-03-04  09:46:03.287	24834.75	24852.50	1	3	2	-35.50	-350.00	-114.00	20.00	-114.00	9.00	-35.50	31.5%	58.6%	-26.5%	0.00	24852.50	24830.25	20_pts_SL_40_60_pts_TP.twconfig	2	1	00:00:18	19850621	0.00	-350.00	0.00	-350.00
MNQH26	Short	2026-03-04  09:45:44.429	2026-03-04  09:46:03.287 EP	24834.75	24852.50	1	3	3	-35.50	-385.50	-149.50 F	29.00	-149.50	9.00	-35.50	31.5%	63.9%	-19.9%	0.00	24852.50	24830.25	20_pts_SL_40_60_pts_TP.twconfig	3	0	00:00:18	19850621	0.00	-385.50	0.00	-385.50
MNQH26	Short	2026-03-04  09:48:28.858 BP	2026-03-04  09:48:52.444	24872.75	24892.75	1	2	1	-40.00	-425.50	-40.00	5.50	-40.00	5.50	-40.00	100.0%	0.0%	-87.9%	0.00	24892.75	24870.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:00:23	19850621	0.00	-425.50	0.00	-425.50
MNQH26	Short	2026-03-04  09:48:28.858	2026-03-04  09:48:52.444 EP	24872.75	24892.75	1	2	2	-40.00	-465.50	-80.00 F	11.00	-80.00	5.50	-40.00	100.0%	44.0%	-44.0%	0.00	24892.75	24870.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:00:23	19850621	0.00	-465.50	0.00	-465.50
MNQH26	Long	2026-03-05  10:05:30.532 BP	2026-03-05  10:05:51.729	25176.00	25156.00	1	2	1	-40.00	-505.50	-40.00	0.00	-40.00	0.00	-40.00	100.0%	0.0%	-100.0%	0.00	25176.00	25156.00	20_pts_SL_40_60_pts_TP.twconfig	1	1	00:00:21	19850621	0.00	-505.50	0.00	-505.50
MNQH26	Long	2026-03-05  10:05:30.532	2026-03-05  10:05:51.729 EP	25176.00	25156.00	1	2	2	-40.00	-545.50	-80.00 F	0.00	-80.00	0.00	-40.00	100.0%	50.0%	-50.0%	0.00	25176.00	25156.00	20_pts_SL_40_60_pts_TP.twconfig	2	0	00:00:21	19850621	0.00	-545.50	0.00	-545.50
